Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/80/St+Go;0%;15.4780807495117;381.777313232422;ØGermany;69.7652587890625;381.777313232422
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/90/Freeflow;0%;86.3270111083984;252.343704223633;ØGermany;46.3989601135254;252.343704223633
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/90/St+Go;0%;15.4743194580078;381.726623535156;ØGermany;69.7560119628906;381.726623535156
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Local/30/Freeflow;0%;30.1593742370605;220.563171386719;ØGermany;39.974006652832;220.563171386719
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Local/30/St+Go;0%;9.62191581726074;405.335083007813;ØGermany;74.0879974365234;405.335083007813
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Local/40/Freeflow;0%;38.1118545532227;219.215118408203;ØGermany;39.7234573364258;219.215118408203
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Local/40/St+Go;0%;11.8271398544312;366.441284179688;ØGermany;66.9091033935547;366.441284179688
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./120/Freeflow;0%;81.4265594482422;9.14000225067139;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./120/St+Go;0%;17.4626007080078;21.3553409576416;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./130/Freeflow;0%;81.4265594482422;9.14000225067139;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./130/St+Go;0%;17.4626007080078;21.3553409576416;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/MW-City/100/Freeflow;0%;81.4265594482422;9.14000225067139;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/MW-City/100/St+Go;0%;17.4626007080078;21.3553409576416;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/50/Freeflow;0%;37.2578926086426;8.57966041564941;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/50/St+Go;0%;12.2624807357788;23.3272151947021;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/60/Freeflow;0%;40.4847831726074;9.95487689971924;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/60/St+Go;0%;12.2588520050049;23.3423500061035;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/70/Freeflow;0%;53.376392364502;9.90427494049072;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/70/St+Go;0%;13.9574632644653;24.2563438415527;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/80/Freeflow;0%;58.4192581176758;11.4091806411743;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/80/St+Go;0%;14.9010925292969;22.5025215148926;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/90/Freeflow;0%;58.4192581176758;11.4091806411743;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/90/St+Go;0%;14.9010925292969;22.5025215148926;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Local/30/Freeflow;0%;26.7850437164307;9.57986736297607;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Local/30/St+Go;0%;9.45668506622314;23.4845123291016;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Local/40/Freeflow;0%;33.1996917724609;10.0736999511719;;;
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;FC_MJ;Urban;URB/Local/40/St+Go;0%;11.6623086929321;21.6172466278076;;;
